time,file_size
0.009816885,54
0.030709028,96
0.01563406,107
0.024085045,161
0.064105988,178
0.061376095,192
0.032368183,214
0.044438839,267
0.093361855,287
0.049175024,321
0.129670143,353
0.059176922,374
0.138422012,382
0.067439079,427
0.156569004,477
0.0763309,481
0.19672513,529
0.110263824,534
0.200918913,573
0.245298862,668
0.263196945,704
0.26848793,763
0.328752995,858
0.326907158,880
0.340404034,954
0.395744085,1126
0.483844995,1228
0.556648016,1433
0.645948172,1638
0.741145849,1843
