time,file_size
0.035669088,28
0.151199102,56
0.287146091,85
0.478844166,112
0.157795906,129
0.82608819,141
1.06892705,170
1.464090109,198
1.865561962,227
2.516849041,255
0.514792919,257
3.072062969,283
2.301804066,328
0.404598951,365
1.218320847,386
1.936522961,514
2.967489004,643
1.286649942,730
5.498219967,772
7.1653409,1024
2.98705101,1126
11.49323487,1228
11.55534816,1331
4.665316105,1536
7.673248053,1843
10.32582307,2252
15.81578588,2662
18.12940598,2969
25.81365108,3379
28.65684414,3788
